City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount pearl,47.5166,-52.7813,278.79,71,75,11.32,CA,1698624783
1,hermanus,-34.4187,19.2345,286.42,64,0,10.33,ZA,1698624534
2,kenai,60.5544,-151.2583,279.2,80,100,8.75,US,1698624824
3,port-aux-francais,-49.35,70.2167,275.07,70,100,11.06,TF,1698624629
4,vilyuysk,63.7553,121.6247,258.71,97,61,2.24,RU,1698624824
5,puerto natales,-51.7236,-72.4875,275.86,78,89,3.16,CL,1698624824
6,chonchi,-42.6128,-73.8092,277.71,98,70,4.11,CL,1698624824
7,port douglas,-16.4833,145.4667,298.56,58,93,4.62,AU,1698624824
8,betio village,1.358,172.9211,305.17,75,100,3.84,KI,1698624825
9,olonkinbyen,70.9221,-8.7187,273.5,69,100,1.27,SJ,1698624825
10,mae hong son,19.3003,97.9685,294.61,97,77,0.93,TH,1698624825
11,utrik,11.2278,169.8474,301.18,80,24,9.42,MH,1698624825
12,yellowknife,62.456,-114.3525,268.46,94,75,3.6,CA,1698624592
13,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,100,3.0,RU,1698624632
14,atar,20.5169,-13.0499,301.36,14,0,1.83,MR,1698624826
15,mil'kovo,55.6078,37.7956,273.38,91,100,1.95,RU,1698624826
16,vilhena,-12.7406,-60.1458,297.66,70,88,1.16,BR,1698624826
17,tsengel,49.4783,100.8894,269.03,87,100,0.78,MN,1698624826
18,barra de santo antonio,-9.4047,-35.5072,297.37,77,99,3.46,BR,1698624826
19,yasnyy,51.0333,59.8742,280.38,80,95,10.49,RU,1698624826
20,sainte-menehould,49.0833,4.9,285.09,88,100,4.21,FR,1698624827
21,waitangi,-43.9535,-176.5597,284.09,77,2,3.37,NZ,1698624827
22,valera,9.3178,-70.6036,295.81,95,91,2.02,VE,1698624827
23,st. john's,47.5649,-52.7093,279.25,71,75,11.32,CA,1698624813
24,vila franca do campo,37.7167,-25.4333,288.38,99,78,1.87,PT,1698624827
25,sinabang,2.4803,96.3801,298.83,84,95,1.35,ID,1698624827
26,lompoc,34.6391,-120.4579,297.23,32,0,3.6,US,1698624714
27,adamstown,-25.066,-130.1015,295.53,83,95,5.18,PN,1698624529
28,cabo san lucas,22.8909,-109.9124,302.38,69,0,5.14,MX,1698624636
29,saipan,15.1355,145.701,304.54,74,40,6.17,MP,1698624828
30,albany,42.6001,-73.9662,279.62,93,100,1.03,US,1698624730
31,tura,25.5198,90.2201,292.16,94,10,1.23,IN,1698624828
32,loushanguan,28.1375,106.82,286.99,88,0,0.27,CN,1698624829
33,ilulissat,69.2167,-51.1,268.16,86,100,2.06,GL,1698624829
34,bethel,41.3712,-73.414,282.79,88,100,3.09,US,1698624532
35,grytviken,-54.2811,-36.5092,277.65,99,100,2.93,GS,1698624829
36,cannonvale,-20.2833,148.7,297.81,51,17,5.04,AU,1698624829
37,piton saint-leu,-21.2196,55.3151,295.21,78,75,3.09,RE,1698624829
38,allendale,42.9723,-85.9537,279.94,94,100,0.45,US,1698624830
39,east london,-33.0153,27.9116,287.68,65,100,5.79,ZA,1698624830
40,lebu,-37.6167,-73.65,281.45,63,43,3.35,CL,1698624830
41,ouarzazat,30.9189,-6.8934,294.31,35,0,1.54,MA,1698624830
42,tiksi,71.6872,128.8694,256.34,99,74,3.11,RU,1698624830
43,ballina,-28.8667,153.5667,297.47,54,1,2.8,AU,1698624830
44,hit,33.6416,42.8251,299.69,28,100,2.47,IQ,1698624831
45,poso,-1.3959,120.7524,302.27,60,73,0.36,ID,1698624831
46,tongliao,43.6125,122.2653,281.13,30,41,5.39,CN,1698624831
47,ribeira grande,38.5167,-28.7,290.87,64,100,2.71,PT,1698624831
48,campbellton,48.0075,-66.6727,275.4,68,72,2.54,CA,1698624831
49,eynesil,41.0645,39.1438,291.97,74,100,0.9,TR,1698624831
50,whitehorse,60.7161,-135.0538,272.09,86,75,7.2,CA,1698624832
51,al bawiti,28.3492,28.8659,293.52,75,6,3.35,EG,1698624832
52,la'ie,21.6477,-157.9253,304.29,66,4,3.82,US,1698624832
53,chaupimarca,-10.4333,-76.5333,276.66,89,99,3.46,PE,1698624832
54,west island,-12.1568,96.8225,299.14,83,75,6.69,CC,1698624833
55,blackmans bay,-43.0167,147.3167,289.22,59,89,3.72,AU,1698624833
56,port shepstone,-30.7414,30.455,288.68,57,99,7.12,ZA,1698624833
57,maych'ew,12.7875,39.5422,285.66,95,75,2.71,ET,1698624833
58,rockport,28.0206,-97.0544,301.16,85,75,5.14,US,1698624833
59,ust'-uda,54.1742,103.0304,265.02,75,13,1.6,RU,1698624833
60,san antonio de pale,-1.4014,5.6325,299.49,84,10,4.21,GQ,1698624833
61,college,64.8569,-147.8028,275.82,75,100,1.54,US,1698624834
62,bafq,31.6128,55.4107,292.74,31,52,0.73,IR,1698624834
63,puerto ayora,-0.7393,-90.3518,297.34,89,64,3.58,EC,1698624834
64,lesneven,48.5723,-4.3213,285.32,82,20,5.14,FR,1698624834
65,grand falls-windsor,48.9332,-55.6649,277.32,61,23,2.24,CA,1698624834
66,fale old settlement,-9.3852,-171.2468,301.98,69,94,5.02,TK,1698624834
67,thompson,55.7435,-97.8558,269.24,74,75,4.12,CA,1698624835
68,dahlonega,34.5326,-83.9849,295.21,74,0,1.15,US,1698624550
69,stanley,54.868,-1.6985,280.77,93,75,2.06,GB,1698624835
70,cole harbour,44.6724,-63.4751,280.86,70,100,5.66,CA,1698624835
71,alnwick,55.4132,-1.7056,281.2,93,100,6.69,GB,1698624835
72,sao francisco do sul,-26.2433,-48.6381,295.78,97,91,2.55,BR,1698624836
73,aripuana,-9.1667,-60.6333,304.55,36,88,1.4,BR,1698624555
74,jamestown,42.097,-79.2353,282.05,96,100,0.89,US,1698624591
75,georgetown,5.4112,100.3354,299.27,94,40,2.57,MY,1698624707
76,harper,4.375,-7.7169,298.83,88,0,2.68,LR,1698624836
77,revda,56.801,59.9303,269.19,95,100,4.31,RU,1698624836
78,kingston,17.997,-76.7936,299.4,89,40,0.45,JM,1698624692
79,invercargill,-46.4,168.35,290.94,49,8,1.34,NZ,1698624837
80,punta arenas,-53.15,-70.9167,278.21,60,67,7.68,CL,1698624837
81,brookings,44.3114,-96.7984,270.96,84,100,7.2,US,1698624785
82,saquarema,-22.92,-42.5103,297.68,96,100,6.93,BR,1698624837
83,nar'yan-mar,67.6713,53.087,264.32,86,100,5.81,RU,1698624837
84,carolina beach,34.0352,-77.8936,295.38,86,1,4.11,US,1698624838
85,port elizabeth,-33.918,25.5701,287.31,87,75,4.12,ZA,1698624838
86,isafjordur,66.0755,-23.124,274.23,80,27,1.58,IS,1698624838
87,longboat key,27.4125,-82.659,301.17,57,0,4.12,US,1698624691
88,yeniseysk,58.4497,92.1703,263.68,92,32,0.89,RU,1698624839
89,nogliki,51.8333,143.1667,276.12,60,4,3.58,RU,1698624839
90,sierra grande,-41.606,-65.3557,281.47,44,77,11.95,AR,1698624839
91,ushuaia,-54.8,-68.3,273.96,75,75,6.17,AR,1698624593
92,hamilton,39.1834,-84.5333,287.03,96,100,2.57,US,1698624750
93,santa vitoria,-18.8386,-50.1214,302.2,49,71,1.36,BR,1698624840
94,miass,55.045,60.1083,272.26,99,100,1.34,RU,1698624840
95,walvis bay,-22.9575,14.5053,287.38,86,0,3.01,NA,1698624840
96,hawaiian paradise park,19.5933,-154.9731,300.95,75,40,3.6,US,1698624840
97,bilibino,68.0546,166.4372,252.89,90,12,1.85,RU,1698624840
98,mossel bay,-34.1831,22.146,286.71,63,3,7.28,ZA,1698624841
99,tevriz,57.509,72.4042,267.06,86,100,3.71,RU,1698624841
100,morieres-les-avignon,43.9333,4.9,293.07,76,40,5.14,FR,1698624841
